      Gx      Gy      Gz     Rot. sign
   12429   27605  -12534          -1
   14310   25788  -14277          -1
   15906   23749  -16020          -1
   17178   21518  -17763          -1
   18085   19133  -19505          -1
   18587   16633  -21248          -1
   18635   14062  -22991          -1
   18175   11468  -24734          -1
   17127    8902  -26477          -1
   15364    6419  -28220          -1
   12620    4073  -29963          -1
    8053    1874  -31706          -1
   -2952   -4017  -32385          -1
   -6068   -9893  -30642           1
   -6947  -13791  -28899           1
   -6853  -17006  -27156           1
   -6103  -19762  -25413           1
   -4855  -22131  -23670           1
   -3214  -24135  -21927           1
   -1260  -25780  -20185           1
     939  -27068  -18442           1
    3325  -27995  -16699           1
    5843  -28562  -14956           1
    8440  -28772  -13213           1
   11067  -28628  -11470           1
   13678  -28141   -9727           1
   16229  -27322   -7984           1
   18678  -26188   -6241           1
   20986  -24759   -4498           1
   23116  -23058   -2755           1
   25037  -21113   -1012           1
   26718  -18954     730           1
   28133  -16615    2472           1
   29260  -14131    4215           1
   30082  -11542    5958           1
   30583   -8887    7701           1
   30755   -6210    9444           1
   30591   -3555   11187           1
   30092    -968   12930           1
   29259    1505   14673           1
   28100    3815   16416           1
   26626    5912   18159           1
   24851    7743   19902           1
   22793    9252   21645           1
   20469   10376   23388           1
   17895   11038   25131           1
   15078   11139   26873           1
   12001   10522   28616           1
    8558    8871   30359           1
    4147    5088   32102           1
     227   -9283   31423          -1
    -819  -13858   29680          -1
   -2433  -16948   27937          -1
   -4413  -19183   26194          -1
   -6647  -20774   24451          -1
   -9051  -21818   22709          -1
  -11556  -22372   20966          -1
  -14103  -22477   19223          -1
  -16638  -22165   17480          -1
  -19111  -21465   15737          -1
  -21480  -20406   13994          -1
  -23702  -19020   12251          -1
  -25742  -17336   10508          -1
  -27568  -15388    8765          -1
  -29150  -13213    7022          -1
  -30465  -10846    5279          -1
  -31493   -8326    3536          -1
  -32218   -5693    1793          -1
  -32630   -2989      50          -1
  -32722    -255   -1691          -1
  -32493    2466   -3434          -1
  -31945    5132   -5177          -1
  -31087    7701   -6920          -1
  -29932   10132   -8663          -1
  -28495   12383  -10406          -1
  -26800   14416  -12149          -1
  -24870   16190  -13892          -1
  -22737   17669  -15635          -1
  -20435   18816  -17378          -1
  -18002   19594  -19121          -1
  -15481   19967  -20864          -1
  -12918   19892  -22607          -1
  -10365   19321  -24349          -1
   -7879   18186  -26092          -1
   -5524   16380  -27835          -1
   -3375   13688  -29578          -1
   -1516    9504  -31321          -1
    1573   -1429  -32697          -1
    8527   -6537  -30955           1
   12492   -8016  -29212           1
   15787   -8359  -27469           1
   18664   -7966  -25726           1
   21194   -7020  -23983           1
   23394   -5633  -22240           1
   25266   -3890  -20497           1
   26804   -1858  -18754           1
   28002     401  -17011           1
   28853    2833  -15268           1
   29355    5385  -13525           1
   29507    8008  -11782           1
   29315   10653  -10039           1
   28785   13275   -8296           1
   27930   15831   -6554           1
   26764   18280   -4811           1
   25309   20583   -3068           1
   23588   22705   -1325           1
   21626   24612     417           1
   19456   26276    2160           1
   17110   27670    3903           1
   14625   28773    5646           1
   12039   29565    7389           1
    9394   30033    9132           1
    6733   30167   10875           1
    4101   29960   12618           1
    1545   29411   14361           1
    -886   28522   16103           1
   -3142   27299   17846           1
   -5170   25752   19589           1
   -6914   23891   21332           1
   -8309   21728   23075           1
   -9283   19275   24818           1
   -9739   16532   26561           1
   -9537   13474   28304           1
   -8414   10001   30047           1
   -5601    5628   31790           1
    7839    -358   31813          -1
   12887   -1669   30079          -1
   16069   -3457   28346          -1
   18290   -5558   26612          -1
   19817   -7873   24878          -1
   20770  -10323   23144          -1
   21218  -12845   21411          -1
   21209  -15382   19677          -1
   20781  -17883   17943          -1
   19967  -20302   16210          -1
   18801  -22596   14476          -1
   17314  -24728   12742          -1
   15542  -26663   11009          -1
   13517  -28371    9275          -1
   11278  -29825    7541          -1
    8863  -31006    5807          -1
    6309  -31894    4074          -1
    3659  -32477    2340          -1
     952  -32747     606          -1
   -1768  -32699   -1126          -1
   -4462  -32335   -2860          -1
   -7087  -31659   -4594          -1
   -9604  -30682   -6328          -1
  -11970  -29417   -8061          -1
  -14149  -27884   -9795          -1
  -16101  -26105  -11529          -1
  -17792  -24108  -13262          -1
  -19186  -21923  -14996          -1
  -20250  -19588  -16730          -1
  -20951  -17140  -18463          -1
  -21257  -14623  -20197          -1
  -21134  -12084  -21931          -1
  -20540   -9578  -23665          -1
  -19424   -7161  -25398          -1
  -17705   -4902  -27132          -1
  -15235   -2882  -28866          -1
  -11655   -1215  -30599          -1
   -5310    -110  -32333          -1
    6007    6134  -31622          -1
    8567   10341  -29888           1
    9585   13751  -28154           1
    9724   16764  -26420           1
    9226   19470  -24687           1
    8224   21889  -22953           1
    6811   24020  -21219           1
    5057   25853  -19486           1
    3025   27374  -17752           1
     770   28574  -16018           1
   -1654   29442  -14285           1
   -4201   29974  -12551           1
   -6821   30168  -10817           1
   -9468   30025   -9083           1
  -12098   29551   -7350           1
  -14668   28756   -5616           1
  -17139   27655   -3882           1
  -19471   26266   -2149           1
  -21629   24610    -415           1
  -23580   22713    1318           1
  -25295   20603    3051           1
  -26745   18314    4785           1
  -27909   15881    6519           1
  -28767   13340    8253           1
  -29304   10733    9986           1
  -29506    8102   11720           1
  -29368    5492   13454           1
  -28884    2949   15187           1
  -28054     523   16921           1
  -26882   -1734   18655           1
  -25372   -3771   20389           1
  -23531   -5526   22122           1
  -21365   -6933   23856           1
  -18874   -7910   25590           1
  -16041   -8351   27323           1
  -12805   -8084   29057           1
   -8946   -6748   30791           1
   -2964   -2649   32524           1
     144    5813   32246          -1
    1287   11872   30513          -1
    2976   15380   28779          -1
    5010   17807   27045          -1
    7279   19493   25312          -1
    9701   20581   23578          -1
   12211   21151   21844          -1
   14749   21252   20110          -1
   17264   20925   18377          -1
   19707   20205   16643          -1
   22037   19124   14909          -1
   24212   17714   13176          -1
   26199   16010   11442          -1
   27966   14045    9708          -1
   29487   11856    7975          -1
   30738    9481    6241          -1
   31700    6958    4507          -1
   32361    4328    2773          -1
   32709    1632    1040          -1
   32741   -1088    -693          -1
   32456   -3793   -2427          -1
   31857   -6440   -4160          -1
   30954   -8987   -5894          -1
   29759  -11395   -7628          -1
   28291  -13624   -9362          -1
   26571  -15636  -11095          -1
   24626  -17396  -12829          -1
   22485  -18867  -14563          -1
   20184  -20017  -16296          -1
   17760  -20812  -18030          -1
   15256  -21220  -19764          -1
   12718  -21207  -21497          -1
   10198  -20735  -23231          -1
    7753  -19755  -24965          -1
    5448  -18197  -26699          -1
    3359  -15936  -28432          -1
    1590  -12693  -30166          -1
     311   -7480  -31900          -1
   -5337    5358  -31882          -1
   -9781    8311  -30148           1
  -13269    9497  -28414           1
  -16332    9748  -26681           1
  -19082    9335  -24947           1
  -21545    8403  -23213           1
  -23719    7046  -21479           1
  -25597    5339  -19746           1
  -27166    3346  -18012           1
  -28415    1121  -16278           1
  -29333   -1281  -14545           1
  -29916   -3813  -12811           1
  -30160   -6425  -11077           1
  -30067   -9071   -9344           1
  -29643  -11706   -7610           1
  -28895  -14288   -5876           1
  -27839  -16776   -4142           1
  -26492  -19131   -2409           1
  -24874  -21318    -675           1
  -23011  -23302    1058           1
  -20932  -25054    2791           1
  -18668  -26545    4525           1
  -16254  -27754    6259           1
  -13726  -28659    7993           1
  -11127  -29244    9726           1
   -8496  -29498   11460           1
   -5880  -29411   13194           1
   -3324  -28978   14927           1
    -878  -28201   16661           1
    1408  -27079   18395           1
    3482  -25619   20128           1
    5283  -23828   21862           1
    6747  -21710   23596           1
    7795  -19269   25330           1
    8325  -16489   27063           1
    8179  -13321   28797           1
    7044   -9586   30531           1
    3754   -4307   32264           1
   -8613    1261   31589          -1
  -13151    3058   29855          -1
  -16007    5155   28121          -1
  -17931    7469   26388          -1
  -19165    9924   24654          -1
  -19827   12456   22920          -1
  -19988   15007   21187          -1
  -19698   17527   19453          -1
  -18999   19967   17719          -1
  -17928   22286   15986          -1
  -16521   24445   14252          -1
  -14814   26409   12518          -1
  -12845   28149   10784          -1
  -10650   29636    9051          -1
   -8268   30850    7317          -1
   -5741   31773    5583          -1
   -3107   32391    3850          -1
    -410   32696    2116          -1
    2310   32683     382          -1
    5011   32353   -1350          -1
    7652   31711   -3084          -1
   10192   30766   -4818          -1
   12591   29533   -6552          -1
   14811   28029   -8285          -1
   16814   26278  -10019          -1
   18567   24306  -11753          -1
   20035   22143  -13486          -1
   21187   19826  -15220          -1
   21993   17392  -16954          -1
   22424   14885  -18688          -1
   22452   12350  -20421          -1
   22045    9839  -22155          -1
   21168    7408  -23889          -1
   19771    5123  -25622          -1
   17774    3059  -27356          -1
   15023    1315  -29090          -1
   11115      47  -30823          -1
    3686    -291  -32557          -1
   -7573   -6769  -31152          -1
   -9922  -10475  -29418           1
  -10954  -13681  -27685           1
  -11163  -16599  -25951           1
  -10754  -19274  -24217           1
   -9845  -21707  -22484           1
   -8521  -23884  -20750           1
   -6849  -25789  -19016           1
   -4887  -27405  -17283           1
   -2689  -28716  -15549           1
    -305  -29710  -13815           1
    2216  -30377  -12081           1
    4828  -30712  -10348           1
    7485  -30715   -8614           1
   10143  -30388   -6880           1
   12758  -29738   -5147           1
   15290  -28778   -3413           1
   17700  -27523   -1679           1
   19950  -25993      53           1
   22006  -24211    1787           1
   23837  -22204    3521           1
   25414  -20004    5255           1
   26711  -17643    6988           1
   27708  -15159    8722           1
   28386  -12592   10456           1
   28730   -9982   12189           1
   28729   -7375   13923           1
   28377   -4818   15657           1
   27670   -2359   17391           1
   26606     -52   19124           1
   25187    2048   20858           1
   23413    3880   22592           1
   21284    5375   24325           1
   18789    6445   26059           1
   15892    6975   27793           1
   12490    6770   29526           1
    8215    5380   31260           1
    -467   -2533   32665          -1
   -2840  -10432   30931          -1
   -5083  -13974   29198          -1
   -7482  -16229   27464          -1
   -9994  -17655   25730          -1
  -12565  -18436   23997          -1
  -15142  -18673   22263          -1
  -17676  -18432   20529          -1
  -20121  -17762   18795          -1
  -22436  -16708   17062          -1
  -24582  -15309   15328          -1
  -26528  -13605   13594          -1
  -28242  -11634   11861          -1
  -29699   -9437   10127          -1
  -30878   -7052    8393          -1
  -31762   -4522    6660          -1
  -32339   -1888    4926          -1
  -32601     807    3192          -1
  -32544    3524    1458          -1
  -32170    6220    -274          -1
  -31484    8853   -2008          -1
  -30497   11382   -3742          -1
  -29224   13770   -5475          -1
  -27684   15977   -7209          -1
  -25899   17969   -8943          -1
  -23898   19711  -10676          -1
  -21712   21171  -12410          -1
  -19376   22319  -14144          -1
  -16928   23129  -15878          -1
  -14411   23575  -17611          -1
  -11872   23631  -19345          -1
   -9362   23274  -21079          -1
   -6936   22475  -22812          -1
   -4657   21200  -24546          -1
   -2597   19397  -26280          -1
    -849   16975  -28014          -1
     454   13731  -29747          -1
    1053    9026  -31481          -1
    3513   -5221  -32156          -1
    7609   -9497  -30423           1
   10889  -11489  -28689           1
   13893  -12411  -26955           1
   16702  -12591  -25222           1
   19321  -12191  -23488           1
   21736  -11310  -21754           1
   23925  -10021  -20021           1
   25863   -8386  -18287           1
   27530   -6458  -16553           1
   28907   -4289  -14819           1
   29978   -1927  -13086           1
   30732     580  -11352           1
   31160    3189   -9618           1
   31260    5853   -7885           1
   31033    8529   -6151           1
   30484   11173   -4417           1
   29623   13745   -2683           1
   28463   16205    -950           1
   27023   18514     783           1
   25325   20638    2517           1
   23395   22544    4250           1
   21261   24203    5984           1
   18958   25586    7718           1
   16520   26672    9451           1
   13988   27438   11185           1
   11402   27870   12919           1
    8807   27953   14653           1
    6251   27678   16386           1
    3782   27037   18120           1
    1456   26026   19854           1
    -670   24641   21587           1
   -2534   22877   23321           1
   -4059   20722   25055           1
   -5151   18151   26788           1
   -5676   15096   28522           1
   -5389   11365   30256           1
   -3560    6134   31990           1
    6691   -2092   32008          -1
   11612   -4722   30274          -1
   14356   -7280   28540          -1
   16039   -9888   26806          -1
   16976  -12522   25073          -1
   17310  -15142   23339          -1
   17131  -17702   21605          -1
   16501  -20161   19872          -1
   15471  -22479   18138          -1
   14085  -24620   16404          -1
   12388  -26551   14671          -1
   10420  -28243   12937          -1
    8223  -29673   11203          -1
    5839  -30820    9469          -1
    3309  -31668    7736          -1
     676  -32205    6002          -1
   -2016  -32425    4268          -1
   -4727  -32324    2535          -1
   -7414  -31907     801          -1
  -10036  -31178    -932          -1
  -12553  -30149   -2665          -1
  -14926  -28836   -4399          -1
  -17118  -27258   -6133          -1
  -19094  -25439   -7867          -1
  -20821  -23408   -9600          -1
  -22269  -21195  -11334          -1
  -23410  -18837  -13068          -1
  -24217  -16372  -14801          -1
  -24669  -13843  -16535          -1
  -24744  -11296  -18269          -1
  -24422   -8780  -20003          -1
  -23682   -6351  -21736          -1
  -22500   -4069  -23470          -1
  -20842   -2003  -25204          -1
  -18654    -236  -26937          -1
  -15823    1115  -28671          -1
  -12070    1867  -30405          -1
   -6206    1496  -32138          -1
    7961    4755  -31427          -1
   11263    8067  -29693           1
   13016   11067  -27960           1
   13857   13922  -26226           1
   14021   16648  -24492           1
   13635   19229  -22758           1
   12785   21636  -21025           1
   11534   23842  -19291           1
    9939   25818  -17557           1
    8050   27540  -15824           1
    5913   28985  -14090           1
    3577   30136  -12356           1
    1086   30978  -10623           1
   -1515   31501   -8889           1
   -4182   31701   -7155           1
   -6871   31576   -5421           1
   -9540   31129   -3688           1
  -12147   30369   -1954           1
  -14652   29307    -220           1
  -17017   27960    1512           1
  -19205   26349    3246           1
  -21182   24498    4980           1
  -22918   22435    6714           1
  -24384   20191    8447           1
  -25554   17804   10181           1
  -26406   15309   11915           1
  -26922   12750   13648           1
  -27085   10169   15382           1
  -26883    7616   17116           1
  -26304    5139   18849           1
  -25341    2794   20583           1
  -23983     641   22317           1
  -22218   -1253   24051           1
  -20022   -2811   25784           1
  -17349   -3926   27518           1
  -14079   -4443   29252           1
   -9860   -4039   30985           1
   -1569    -801   32719           1
    3916    8687   31350          -1
    6802   12257   29616          -1
    9572   14303   27883          -1
   12306   15441   26149          -1
   14991   15899   24415          -1
   17594   15799   22682          -1
   20079   15219   20948          -1
   22410   14221   19214          -1
   24552   12855   17480          -1
   26475   11169   15747          -1
   28151    9208   14013          -1
   29557    7015   12279          -1
   30675    4633   10546          -1
   31489    2106    8812          -1
   31988    -521    7078          -1
   32168   -3208    5345          -1
   32026   -5911    3611          -1
   31565   -8588    1877          -1
   30794  -11197     143          -1
   29723  -13698   -1589          -1
   28370  -16054   -3323          -1
   26754  -18228   -5057          -1
   24901  -20186   -6790          -1
   22838  -21895   -8524          -1
   20598  -23326  -10258          -1
   18217  -24454  -11991          -1
   15733  -25253  -13725          -1
   13188  -25705  -15459          -1
   10629  -25789  -17193          -1
    8104  -25490  -18926          -1
    5667  -24793  -20660          -1
    3375  -23680  -22394          -1
    1296  -22132  -24127          -1
    -495  -20114  -25861          -1
   -1899  -17566  -27595          -1
   -2771  -14345  -29329          -1
   -2821  -10040  -31062          -1
   -1826    4303  -32431          -1
   -5336   10140  -30698           1
   -8236   12919  -28964           1
  -11039   14501  -27230           1
  -13783   15284  -25496           1
  -16447   15442  -23763           1
  -19001   15077  -22029           1
  -21409   14262  -20295           1
  -23637   13053  -18562           1
  -25655   11501  -16828           1
  -27434    9652  -15094           1
  -28950    7553  -13360           1
  -30182    5246  -11627           1
  -31114    2776   -9893           1
  -31734     186   -8159           1
  -32034   -2479   -6426           1
  -32013   -5177   -4692           1
  -31670   -7866   -2958           1
  -31013  -10503   -1225           1
  -30051  -13049     508           1
  -28800  -15465    2242           1
  -27278  -17712    3976           1
  -25509  -19757    5709           1
  -23519  -21566    7443           1
  -21339  -23110    9177           1
  -19003  -24361   10910           1
  -16549  -25296   12644           1
  -14018  -25892   14378           1
  -11454  -26131   16111           1
   -8905  -25998   17845           1
   -6421  -25477   19579           1
   -4058  -24555   21313           1
   -1877  -23216   23046           1
      52  -21438   24780           1
    1644  -19182   26514           1
    2787  -16369   28247           1
    3293  -12803   29981           1
    2706   -7777   31715           1
   -5927    3067   32080          -1
  -10468    6571   30346          -1
  -12772    9583   28612          -1
  -14004   12452   26878          -1
  -14486   15215   25145          -1
  -14375   17858   23411          -1
  -13764   20353   21677          -1
  -12726   22670   19944          -1
  -11316   24778   18210          -1
   -9586   26651   16476          -1
   -7584   28262   14743          -1
   -5356   29592   13009          -1
   -2948   30624   11275          -1
    -403   31344    9541          -1
    2233   31744    7808          -1
    4918   31821    6074          -1
    7608   31574    4340          -1
   10261   31009    2607          -1
   12836   30135     873          -1
   15294   28965    -860          -1
   17596   27519   -2594          -1
   19708   25816   -4327          -1
   21597   23885   -6061          -1
   23231   21753   -7795          -1
   24584   19454   -9528          -1
   25631   17025  -11262          -1
   26350   14505  -12996          -1
   26724   11937  -14729          -1
   26737    9367  -16463          -1
   26375    6844  -18197          -1
   25629    4419  -19931          -1
   24488    2152  -21664          -1
   22938     104  -23398          -1
   20960   -1650  -25132          -1
   18514   -3019  -26865          -1
   15515   -3875  -28599          -1
   11732   -3990  -30333          -1
    6175   -2691  -32066          -1
   -6452   -2215  -32048          -1
  -11386   -5001  -30315           1
  -14085   -7640  -28581           1
  -15711  -10296  -26847           1
  -16584  -12957  -25114           1
  -16854  -15587  -23380           1
  -16610  -18143  -21646           1
  -15917  -20585  -19913           1
  -14828  -22875  -18179           1
  -13388  -24979  -16445           1
  -11640  -26864  -14711           1
   -9629  -28504  -12978           1
   -7395  -29875  -11244           1
   -4981  -30958   -9510           1
   -2430  -31737   -7777           1
     214  -32204   -6043           1
    2912  -32351   -4309           1
    5619  -32178   -2576           1
    8294  -31688    -842           1
   10895  -30889     891           1
   13384  -29793    2625           1
   15721  -28416    4358           1
   17870  -26780    6092           1
   19797  -24909    7826           1
   21470  -22832    9559           1
   22858  -20581   11293           1
   23936  -18193   13027           1
   24679  -15707   14761           1
   25064  -13166   16494           1
   25073  -10617   18228           1
   24685   -8111   19962           1
   23884   -5702   21695           1
   22645   -3451   23429           1
   20939   -1428   25163           1
   18712     280   26896           1
   15859    1560   28630           1
   12114    2219   30364           1
    6358    1720   32098           1
   -5229   -7677   31422          -1
   -8729  -10772   29688          -1
  -11827  -12340   27955          -1
  -14726  -13008   26221          -1
  -17457  -13009   24487          -1
  -20010  -12470   22754          -1
  -22362  -11477   21020          -1
  -24489  -10097   19286          -1
  -26367   -8387   17552          -1
  -27972   -6398   15819          -1
  -29288   -4179   14085          -1
  -30297   -1778   12351          -1
  -30989     758   10618          -1
  -31357    3386    8884          -1
  -31397    6060    7150          -1
  -31112    8737    5417          -1
  -30507   11375    3683          -1
  -29593   13932    1949          -1
  -28384   16369     215          -1
  -26898   18649   -1517          -1
  -25160   20738   -3251          -1
  -23194   22601   -4985          -1
  -21031   24211   -6718          -1
  -18705   25541   -8452          -1
  -16251   26566  -10186          -1
  -13711   27268  -11920          -1
  -11125   27631  -13653          -1
   -8540   27640  -15387          -1
   -6003   27285  -17121          -1
   -3565   26560  -18854          -1
   -1282   25458  -20588          -1
     786   23974  -22322          -1
    2572   22099  -24055          -1
    3995   19814  -25789          -1
    4949   17077  -27523          -1
    5269   13781  -29257          -1
    4612    9590  -30990          -1
     845    1438  -32724          -1
    2632   -9264  -31319          -1
    4960  -13181  -29585           1
    7400  -15594  -27852           1
    9937  -17109  -26118           1
   12526  -17948  -24384           1
   15115  -18224  -22651           1
   17657  -18009  -20917           1
   20107  -17359  -19183           1
   22425  -16318  -17449           1
   24572  -14928  -15716           1
   26516  -13231  -13982           1
   28226  -11265  -12248           1
   29678   -9070  -10515           1
   30851   -6688   -8781           1
   31728   -4160   -7047           1
   32297   -1528   -5313           1
   32549    1166   -3580           1
   32483    3882   -1846           1
   32100    6575    -112           1
   31405    9206    1620           1
   30409   11734    3354           1
   29127   14120    5088           1
   27578   16326    6821           1
   25787   18316    8555           1
   23779   20058   10289           1
   21587   21519   12023           1
   19246   22671   13756           1
   16794   23487   15490           1
   14274   23942   17224           1
   11733   24012   18957           1
    9221   23674   20691           1
    6792   22905   22425           1
    4510   21672   24158           1
    2445   19931   25892           1
     686   17606   27626           1
    -642   14534   29360           1
   -1311   10253   31093           1
    3367   -2482   32498          -1
    8490   -7422   30765          -1
   10569  -10915   29031          -1
   11484  -14022   27297          -1
   11626  -16881   25563          -1
   11174  -19517   23830          -1
   10237  -21922   22096          -1
    8893  -24081   20362          -1
    7207  -25974   18629          -1
    5234  -27582   16895          -1
    3028  -28889   15161          -1
     637  -29882   13428          -1
   -1889  -30550   11694          -1
   -4507  -30889    9960          -1
   -7169  -30896    8226          -1
   -9831  -30575    6493          -1
  -12452  -29932    4759          -1
  -14989  -28979    3025          -1
  -17404  -27732    1292          -1
  -19659  -26210    -441          -1
  -21721  -24435   -2175          -1
  -23558  -22436   -3909          -1
  -25140  -20243   -5642          -1
  -26443  -17889   -7376          -1
  -27443  -15411   -9110          -1
  -28124  -12849  -10843          -1
  -28469  -10245  -12577          -1
  -28467   -7644  -14311          -1
  -28112   -5093  -16044          -1
  -27397   -2641  -17778          -1
  -26321    -342  -19512          -1
  -24884    1747  -21246          -1
  -23084    3564  -22979          -1
  -20917    5037  -24713          -1
  -18366    6074  -26447          -1
  -15382    6549  -28180          -1
  -11825    6241  -29914          -1
   -7152    4572  -31648          -1
    5318     748  -32323          -1
   11453    2596  -30590           1
   14802    4676  -28856           1
   17011    6975  -27122           1
   18447    9422  -25388           1
   19266   11954  -23655           1
   19556   14514  -21921           1
   19376   17048  -20187           1
   18772   19511  -18454           1
   17784   21858  -16720           1
   16450   24051  -14986           1
   14806   26053  -13253           1
   12889   27835  -11519           1
   10739   29369   -9785           1
    8393   30633   -8051           1
    5893   31607   -6318           1
    3278   32278   -4584           1
     591   32637   -2850           1
   -2127   32678   -1117           1
   -4834   32402     616           1
   -7489   31812    2350           1
  -10051   30918    4084           1
  -12481   29732    5817           1
  -14739   28273    7551           1
  -16789   26562    9285           1
  -18595   24626   11018           1
  -20125   22494   12752           1
  -21348   20201   14486           1
  -22232   17784   16219           1
  -22752   15286   17953           1
  -22879   12751   19687           1
  -22585   10231   21421           1
  -21840    7780   23154           1
  -20601    5461   24888           1
  -18808    3345   26622           1
  -16349    1523   28355           1
  -12972     127   30089           1
   -7786    -571   31823           1
    5303    5628   31841          -1
    9618    8642   30107          -1
   13058    9903   28373          -1
   16105   10227   26640          -1
   18859    9882   24906          -1
   21341    9012   23172          -1
   23549    7711   21439          -1
   25470    6053   19705          -1
   27090    4100   17971          -1
   28396    1908   16237          -1
   29378    -469   14504          -1
   30027   -2985   12770          -1
   30341   -5590   11036          -1
   30319   -8238    9303          -1
   29964  -10885    7569          -1
   29287  -13486    5835          -1
   28297  -16002    4102          -1
   27014  -18393    2368          -1
   25455  -20622     634          -1
   23647  -22655   -1099          -1
   21615  -24462   -2832          -1
   19392  -26014   -4566          -1
   17011  -27287   -6300          -1
   14510  -28259   -8033          -1
   11927  -28913   -9767          -1
    9305  -29237  -11501          -1
    6688  -29219  -13235          -1
    4122  -28855  -14968          -1
    1656  -28141  -16702          -1
    -658  -27080  -18436          -1
   -2768  -25674  -20169          -1
   -4615  -23929  -21903          -1
   -6132  -21848  -23637          -1
   -7241  -19430  -25370          -1
   -7840  -16659  -27104          -1
   -7770  -13477  -28838          -1
   -6716   -9690  -30572          -1
   -3483   -4228  -32305          -1
    -744    8655  -31594          -1
   -2268   13299  -29860           1
   -4192   16278  -28126           1
   -6387   18337  -26393           1
   -8764   19717  -24659           1
  -11252   20529  -22925           1
  -13790   20842  -21192           1
  -16322   20703  -19458           1
  -18800   20150  -17724           1
  -21179   19220  -15990           1
  -23417   17944  -14257           1
  -25480   16358  -12523           1
  -27333   14495  -10789           1
  -28949   12393   -9056           1
  -30303   10088   -7322           1
  -31374    7620   -5588           1
  -32148    5028   -3855           1
  -32613    2354   -2121           1
  -32762    -362    -387           1
  -32594   -3078    1346           1
  -32110   -5752    3079           1
  -31318   -8344    4813           1
  -30230  -10812    6547           1
  -28861  -13118    8280           1
  -27233  -15223   10014           1
  -25368  -17090   11748           1
  -23298  -18684   13481           1
  -21053  -19972   15215           1
  -18672  -20922   16949           1
  -16194  -21502   18683           1
  -13665  -21681   20416           1
  -11135  -21425   22150           1
   -8656  -20694   23884           1
   -6292  -19437   25617           1
   -4112  -17568   27351           1
   -2208  -14927   29085           1
    -708  -11106   30819           1
      72   -3740   32552           1
   -6441    7730   31183          -1
   -8248   11761   29450          -1
   -8812   15093   27716          -1
   -8600   18017   25982          -1
   -7809   20607   24248          -1
   -6559   22884   22515          -1
   -4934   24848   20781          -1
   -3003   26492   19047          -1
    -828   27806   17314          -1
    1536   28784   15580          -1
    4039   29421   13846          -1
    6630   29715   12113          -1
    9263   29667   10379          -1
   11892   29283    8645          -1
   14473   28573    6911          -1
   16966   27550    5178          -1
   19331   26231    3444          -1
   21532   24639    1710          -1
   23535   22798     -22          -1
   25310   20735   -1756          -1
   26829   18483   -3490          -1
   28069   16077   -5224          -1
   29010   13552   -6957          -1
   29635   10949   -8691          -1
   29932    8310  -10425          -1
   29893    5677  -12158          -1
   29513    3098  -13892          -1
   28794     618  -15626          -1
   27737   -1711  -17359          -1
   26350   -3840  -19093          -1
   24642   -5713  -20827          -1
   22623   -7270  -22561          -1
   20302   -8442  -24294          -1
   17681   -9141  -26028          -1
   14743   -9249  -27762          -1
   11417   -8561  -29495          -1
    7414   -6589  -31229          -1
   -3314     169  -32598          -1
  -10996    -351  -30864           1
  -14902   -1721  -29131           1
  -17622   -3537  -27397           1
  -19572   -5654  -25663           1
  -20914   -7976  -23930           1
  -21730  -10429  -22196           1
  -22073  -12950  -20462           1
  -21980  -15483  -18728           1
  -21484  -17979  -16995           1
  -20615  -20390  -15261           1
  -19403  -22675  -13527           1
  -17878  -24797  -11794           1
  -16074  -26722  -10060           1
  -14025  -28418   -8326           1
  -11766  -29862   -6592           1
   -9335  -31030   -4859           1
   -6771  -31907   -3125           1
   -4113  -32477   -1391           1
   -1404  -32735     341           1
    1314  -32674    2075           1
    4003  -32297    3809           1
    6619  -31609    5542           1
    9122  -30618    7276           1
   11470  -29341    9010           1
   13625  -27795   10744           1
   15548  -26004   12477           1
   17202  -23995   14211           1
   18552  -21799   15945           1
   19563  -19452   17678           1
   20199  -16994   19412           1
   20424  -14469   21146           1
   20199  -11923   22879           1
   19475   -9410   24613           1
   18183   -6990   26347           1
   16209   -4729   28081           1
   13319   -2711   29814           1
    8791   -1039   31548           1
   -4545   -3508   32259          -1
   -9998   -6468   30526          -1
  -13792   -7377   28792          -1
  -16962   -7332   27058          -1
  -19704   -6637   25325          -1
  -22078   -5445   23591          -1
  -24104   -3857   21857          -1
  -25785   -1952   20124          -1
  -27118     204   18390          -1
  -28101    2554   16656          -1
  -28732    5043   14922          -1
  -29011    7620   13189          -1
  -28942   10236   11455          -1
  -28532   12847    9721          -1
  -27793   15407    7988          -1
  -26739   17876    6254          -1
  -25389   20214    4520          -1
  -23765   22385    2787          -1
  -21892   24357    1053          -1
  -19801   26098    -680          -1
  -17522   27582   -2414          -1
  -15090   28787   -4147          -1
  -12544   29693   -5881          -1
   -9922   30285   -7615          -1
   -7266   30552   -9348          -1
   -4619   30487  -11082          -1
   -2027   30088  -12816          -1
     464   29355  -14550          -1
    2808   28295  -16283          -1
    4955   26916  -18017          -1
    6851   25231  -19751          -1
    8443   23254  -21484          -1
    9667   21002  -23218          -1
   10451   18488  -24952          -1
   10698   15718  -26685          -1
   10264   12674  -28419          -1
    8870    9261  -30153          -1
    5651    4995  -31887          -1
    -799   -7576  -31869          -1
    -283  -12862  -30135           1
     997  -16310  -28401           1
    2735  -18841  -26667           1
    4790  -20712  -24934           1
    7067  -22033  -23200           1
    9492  -22863  -21466           1
   12001  -23243  -19733           1
