      Gx      Gy      Gz     Rot. sign
   15467   -8840   27500          -1
   16680  -11468   25766          -1
   17242  -14098   24033          -1
   17260  -16688   22299          -1
   16804  -19192   20565          -1
   15928  -21571   18831          -1
   14679  -23787   17098          -1
   13102  -25805   15364          -1
   11237  -27596   13630          -1
    9127  -29134   11897          -1
    6812  -30396   10163          -1
    4335  -31365    8429          -1
    1739  -32028    6696          -1
    -934  -32375    4962          -1
   -3643  -32403    3228          -1
   -6344  -32112    1494          -1
   -8997  -31506    -238          -1
  -11561  -30595   -1972          -1
  -13996  -29394   -3706          -1
  -16265  -27919   -5439          -1
  -18332  -26194   -7173          -1
  -20162  -24244   -8907          -1
  -21725  -22100  -10641          -1
  -22992  -19796  -12374          -1
  -23936  -17368  -14108          -1
  -24533  -14860  -15842          -1
  -24761  -12314  -17575          -1
  -24600   -9779  -19309          -1
  -24029   -7309  -21043          -1
  -23027   -4960  -22776          -1
  -21565   -2798  -24510          -1
  -19598    -901  -26244          -1
  -17044     633  -27978          -1
  -13716    1657  -29711          -1
   -9022    1860  -31445          -1
    5665    3133  -32120          -1
   10198    6803  -30387           1
   12445    9887  -28653           1
   13611   12795  -26919           1
   14027   15574  -25186           1
   13850   18216  -23452           1
   13177   20696  -21718           1
   12079   22986  -19985           1
   10615   25057  -18251           1
    8838   26883  -16517           1
    6795   28441  -14783           1
    4533   29712  -13050           1
    2098   30679  -11316           1
    -464   31330   -9582           1
   -3110   31660   -7849           1
   -5796   31665   -6115           1
   -8478   31346   -4381           1
  -11114   30710   -2647           1
  -13665   29767    -914           1
  -16090   28532     819           1
  -18353   27024    2553           1
  -20419   25265    4286           1
  -22255   23283    6020           1
  -23832   21108    7754           1
  -25123   18774    9487           1
  -26105   16317   11221           1
  -26757   13778   12955           1
  -27063   11201   14689           1
  -27008    8631   16422           1
  -26581    6117   18156           1
  -25773    3713   19890           1
  -24574    1475   21623           1
  -22974    -531   23357           1
  -20954   -2234   25091           1
  -18481   -3541   26824           1
  -15472   -4323   28558           1
  -11710   -4348   30292           1
   -6272   -2942   32026           1
    2604    6330   32044          -1
    5675   11079   30310          -1
    8469   13613   28576          -1
   11216   15076   26842          -1
   13925   15789   25109          -1
   16565   15901   23375          -1
   19102   15505   21641          -1
   21498   14667   19908          -1
   23720   13443   18174          -1
   25734   11879   16440          -1
   27512   10023   14707          -1
   29028    7917   12973          -1
   30264    5605   11239          -1
   31201    3132    9505          -1
   31827     539    7772          -1
   32135   -2129    6038          -1
   32121   -4831    4304          -1
   31787   -7523    2571          -1
   31139  -10164     837          -1
   30186  -12713    -896          -1
   28944  -15132   -2629          -1
   27430  -17383   -4363          -1
   25669  -19431   -6097          -1
   23686  -21243   -7831          -1
   21513  -22789   -9564          -1
   19184  -24041  -11298          -1
   16736  -24974  -13032          -1
   14210  -25567  -14765          -1
   11651  -25800  -16499          -1
    9106  -25657  -18233          -1
    6627  -25121  -19967          -1
    4270  -24176  -21700          -1
    2097  -22805  -23434          -1
     180  -20981  -25168          -1
   -1392  -18655  -26901          -1
   -2499  -15729  -28635          -1
   -2933  -11949  -30369          -1
   -2088   -6222  -32102          -1
   -4096    8453  -31391          -1
   -7095   11989  -29657           1
   -9925   13978  -27924           1
  -12693   15053  -26190           1
  -15393   15446  -24456           1
  -17995   15281  -22722           1
  -20465   14638  -20989           1
  -22769   13580  -19255           1
  -24875   12160  -17521           1
  -26753   10424  -15788           1
  -28376    8420  -14054           1
  -29724    6191  -12320           1
  -30778    3781  -10587           1
  -31524    1234   -8853           1
  -31953   -1406   -7119           1
  -32060   -4096   -5385           1
  -31846   -6794   -3652           1
  -31313   -9457   -1918           1
  -30472  -12045    -184           1
  -29334  -14517    1548           1
  -27918  -16836    3282           1
  -26245  -18965    5016           1
  -24339  -20873    6749           1
  -22231  -22526    8483           1
  -19954  -23898   10217           1
  -17542  -24961   11951           1
  -15037  -25695   13684           1
  -12481  -26079   15418           1
   -9920  -26097   17152           1
   -7403  -25732   18885           1
   -4985  -24973   20619           1
   -2723  -23803   22353           1
    -684  -22204   24087           1
    1054  -20145   25820           1
    2393  -17569   27554           1
    3185  -14343   29288           1
    3134  -10074   31021           1
     325    -802   32755           1
   -9071    5283   31039          -1
  -12009    8402   29306          -1
  -13613   11318   27572          -1
  -14371   14123   25838          -1
  -14484   16817   24105          -1
  -14064   19375   22371          -1
  -13189   21767   20637          -1
  -11921   23962   18903          -1
  -10313   25932   17170          -1
   -8415   27650   15436          -1
   -6272   29095   13702          -1
   -3930   30248   11969          -1
   -1434   31094   10235          -1
    1170   31623    8501          -1
    3841   31829    6767          -1
    6534   31711    5034          -1
    9207   31272    3300          -1
   11818   30521    1566          -1
   14327   29467    -166          -1
   16696   28129   -1900          -1
   18889   26526   -3634          -1
   20870   24683   -5367          -1
   22610   22627   -7101          -1
   24078   20391   -8835          -1
   25250   18010  -10569          -1
   26103   15521  -12302          -1
   26617   12967  -14036          -1
   26776   10392  -15770          -1
   26566    7844  -17503          -1
   25975    5374  -19237          -1
   24993    3036  -20971          -1
   23608     892  -22704          -1
   21804    -988  -24438          -1
   19552   -2525  -26172          -1
   16790   -3605  -27906          -1
   13367   -4056  -29639          -1
    8787   -3487  -31373          -1
   -1212    -371  -32742          -1
   -9831   -3934  -31008           1
  -13164   -6584  -29275           1
  -15163   -9231  -27541           1
  -16314  -11894  -25807           1
  -16812  -14541  -24073           1
  -16765  -17132  -22340           1
  -16245  -19624  -20606           1
  -15308  -21980  -18872           1
  -14003  -24162  -17139           1
  -12373  -26138  -15405           1
  -10462  -27879  -13671           1
   -8313  -29360  -11938           1
   -5966  -30560  -10204           1
   -3465  -31462   -8470           1
    -852  -32055   -6736           1
    1829  -32331   -5003           1
    4538  -32286   -3269           1
    7230  -31922   -1535           1
    9866  -31245     197           1
   12404  -30266    1931           1
   14807  -28999    3665           1
   17035  -27464    5399           1
   19055  -25684    7132           1
   20833  -23685    8866           1
   22339  -21500   10600           1
   23544  -19162   12333           1
   24423  -16710   14067           1
   24954  -14186   15801           1
   25116  -11635   17534           1
   24889   -9105   19268           1
   24255   -6650   21002           1
   23195   -4328   22736           1
   21680   -2205   24469           1
   19670    -359   26203           1
   17086    1109   27937           1
   13751    2049   29670           1
    9101    2141   31404           1
   -3477   -5490   32116          -1
   -7404   -9785   30382          -1
  -10616  -11841   28648          -1
  -13587  -12831   26914          -1
  -16385  -13079   25181          -1
  -19011  -12744   23447          -1
  -21447  -11924   21713          -1
  -23667  -10692   19980          -1
  -25647   -9107   18246          -1
  -27364   -7224   16512          -1
  -28798   -5091   14779          -1
  -29931   -2758   13045          -1
  -30751    -270   11311          -1
  -31249    2327    9577          -1
  -31420    4988    7844          -1
  -31265    7669    6110          -1
  -30787   10327    4376          -1
  -29995   12921    2643          -1
  -28902   15411     909          -1
  -27524   17759    -824          -1
  -25884   19928   -2558          -1
  -24006   21885   -4291          -1
  -21918   23599   -6025          -1
  -19653   25044   -7759          -1
  -17245   26194   -9492          -1
  -14735   27028  -11226          -1
  -12162   27527  -12960          -1
   -9571   27679  -14693          -1
   -7008   27471  -16427          -1
   -4525   26895  -18161          -1
   -2173   25944  -19895          -1
     -11   24614  -21628          -1
    1896   22897  -23362          -1
    3476   20779  -25096          -1
    4633   18230  -26829          -1
    5232   15179  -28563          -1
    5032   11420  -30297          -1
    3299    6066  -32030          -1
    1685   -6782  -32013          -1
    4019  -11861  -30279           1
    6410  -14755  -28545           1
    8913  -16593  -26811           1
   11487  -17685  -25078           1
   14082  -18176  -23344           1
   16649  -18150  -21610           1
   19141  -17668  -19877           1
   21516  -16778  -18143           1
   23736  -15523  -16409           1
   25765  -13944  -14675           1
   27572  -12081  -12942           1
   29130   -9973  -11208           1
   30417   -7661   -9474           1
   31414   -5186   -7741           1
   32107   -2590   -6007           1
   32486      84   -4273           1
   32548    2796   -2540           1
   32291    5503    -806           1
   31720    8164     927           1
   30842   10738    2661           1
   29673   13185    4394           1
   28228   15467    6128           1
   26531   17548    7862           1
   24606   19393    9595           1
   22484   20970   11329           1
   20198   22249   13063           1
   17785   23203   14796           1
   15287   23805   16530           1
   12749   24032   18264           1
   10219   23860   19998           1
    7750   23266   21731           1
    5401   22223   23465           1
    3240   20692   25199           1
    1346   18613   26932           1
    -172   15870   28666           1
   -1147   12172   30400           1
   -1129    6309   32134           1
    7098   -5800   31458          -1
    9915   -9580   29724          -1
   11225  -12812   27991          -1
   11648  -15765   26257          -1
   11418  -18489   24523          -1
   10665  -20989   22790          -1
    9475  -23249   21056          -1
    7919  -25250   19322          -1
    6054  -26974   17588          -1
    3935  -28404   15855          -1
    1612  -29523   14121          -1
    -865  -30322   12387          -1
   -3452  -30793   10654          -1
   -6101  -30933    8920          -1
   -8769  -30742    7186          -1
  -11411  -30227    5452          -1
  -13987  -29397    3719          -1
  -16455  -28265    1985          -1
  -18779  -26850     251          -1
  -20922  -25174   -1481          -1
  -22852  -23261   -3215          -1
  -24539  -21141   -4949          -1
  -25957  -18847   -6682          -1
  -27081  -16415   -8416          -1
  -27891  -13881  -10150          -1
  -28372  -11289  -11884          -1
  -28510   -8681  -13617          -1
